"sample_id","molecule_h5","sample_id_ori2","Counts_List"
"76647_V5","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76647_V5/outs/molecule_info.h5","76647_V5",86
"76647_V5_combine","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5_combine/outs/molecule_info.h5","76647_V5",119
"76647_V5_2nd","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5_2nd/outs/molecule_info.h5","76647_V5",104
"76647_V5_combine_force9410","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5_combine_force9410/outs/molecule_info.h5","76647_V5",235
"76647_V5_combine_force12000","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5_combine_force12000/outs/molecule_info.h5","76647_V5",169
"76649_V11","/media/jianie/SequencingFiles_3/20220620_Counts/76649_V11/outs/molecule_info.h5","76649_V11",137
"76649_V11_2nd","/media/jianie/SequencingFiles_4/20220715_Counts/76649_V11_2nd/outs/molecule_info.h5","76649_V11",187
"76649_V11_3rd","/media/jianie/SequencingFiles_4/20220801_Counts/76649_V11_3rd/outs/molecule_info.h5","76649_V11",238
"76649_V5","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76649_V5/outs/molecule_info.h5","76649_V5",87
"76649_V5_combine","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5_combine/outs/molecule_info.h5","76649_V5",120
"76649_V5_combine_force14472","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5_combine_force14472/outs/molecule_info.h5","76649_V5",236
"76649_V5_combine_force15000","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5_combine_force15000/outs/molecule_info.h5","76649_V5",126
"76649_V5_2nd","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5_2nd/outs/molecule_info.h5","76649_V5",106
"76656_V11","/media/jianie/SequencingFiles_3/20220620_Counts/76656_V11/outs/molecule_info.h5","76656_V11",139
"76656_V11_2nd","/media/jianie/SequencingFiles_4/20220715_Counts/76656_V11_2nd/outs/molecule_info.h5","76656_V11",193
